expression,reading,meaning,ChineseMeaning,tags
欺く,あざむく,to deceive,欺騙,JLPT JLPT_1
鮮やか,あざやか,"vivid, clear",鮮豔,JLPT JLPT_1
嘲笑う,あざわらう,"to sneer at, to ridicule",嘲笑,JLPT JLPT_1
悪しからず,あしからず,"don't take me wrong, but..., I'm sorry",請勿見怪,JLPT JLPT_1
味わい,あじわい,"flavor, relish",味道,JLPT JLPT_1
焦る,あせる,"to be in a hurry, to be impatient",焦急,JLPT JLPT_1
値,あたい,"value, price, worth",價值,JLPT JLPT_1
値する,あたいする,"to be worth, to deserve",值得,JLPT JLPT_1
悪化,あっか,"deterioration, worsen",惡化,JLPT JLPT_1
扱い,あつかい,"treatment, service",待遇,JLPT JLPT_1
呆気ない,あっけない,"not enough, too quick (short, long, etc.)",令人失望,JLPT JLPT_1
あっさり,あっさり,"easily, readily, quickly",清爽,JLPT JLPT_1
斡旋,あっせん,"kind offices, mediation",仲介,JLPT JLPT_1
圧倒,あっとう,"overwhelm, overpower",壓倒,JLPT JLPT_1
圧迫,あっぱく,"pressure, coercion, oppression",壓迫,JLPT JLPT_1
あつらえる,あつらえる,"to give an order, to place an order",訂製,JLPT JLPT_1
圧力,あつりょく,"stress, pressure",壓力,JLPT JLPT_1
当て,あて,expectations; depend,指望,JLPT JLPT_1
当て字,あてじ,"phonetic-equivalent character, substitute character",借字,JLPT JLPT_1
跡継ぎ,あとつぎ,"heir, successor",繼承人,JLPT JLPT_1
後回し,あとまわし,"putting off, postponing",延後,JLPT JLPT_1
油絵,あぶらえ,oil painting,油畫,JLPT JLPT_1
アプローチ,アプローチ,approach (in golf),接近,JLPT JLPT_1
あべこべ,あべこべ,"contrary, opposite, inverse",顛倒,JLPT JLPT_1
甘える,あまえる,"to behave like a spoiled child, to fawn on",撒嬌,JLPT JLPT_1
雨具,あまぐ,rain gear,雨具,JLPT JLPT_1
甘口,あまくち,sweet flavor,甜味,JLPT JLPT_1
アマチュア,アマチュア,amateur,業餘,JLPT JLPT_1
網,あみ,net,網,JLPT JLPT_1
操る,あやつる,"to manipulate, to operate, to pull strings",操縱,JLPT JLPT_1expression,reading,meaning,ChineseMeaning,tags
現像,げんぞう,developing (film),沖洗（底片）,JLPT_1 JLPT
原則,げんそく,"principle, general rule",原則,JLPT_1 JLPT
見地,けんち,point of view,見解、觀點,JLPT_1 JLPT
現地,げんち,"actual place, local",現場、當地,JLPT_1 JLPT
限定,げんてい,"limit, restriction",限定、限制,JLPT_1 JLPT
原点,げんてん,"origin (coordinates, starting point)",原點,JLPT_1 JLPT
原典,げんてん,"original, source",原典、原始資料,JLPT_1 JLPT
原爆,げんばく,atomic bomb,原子彈,JLPT_1 JLPT
原文,げんぶん,"the text, original",原文,JLPT_1 JLPT
厳密,げんみつ,"strict, close",嚴密,JLPT_1 JLPT
賢明,けんめい,"wisdom, intelligence, prudence",賢明、明智,JLPT_1 JLPT
倹約,けんやく,"thrift, economy, frugality",節約,JLPT_1 JLPT
原油,げんゆ,crude oil,原油,JLPT_1 JLPT
兼用,けんよう,"multi-use, combined use",兼用,JLPT_1 JLPT
権力,けんりょく,"(political) power, authority, influence",權力,JLPT_1 JLPT
言論,げんろん,"discussion, speech",言論,JLPT_1 JLPT
語彙,ごい,"vocabulary, glossary",詞彙,JLPT_1 JLPT
恋する,こいする,"to fall in love with, to love",戀愛,JLPT_1 JLPT
甲,こう,1st in rank; shell,甲,JLPT_1 JLPT
好意,こうい,"good will, favor, courtesy",好意,JLPT_1 JLPT
行為,こうい,"act, deed, conduct",行為,JLPT_1 JLPT
合意,ごうい,"agreement, consent, mutual understanding",合意,JLPT_1 JLPT
工学,こうがく,engineering,工學,JLPT_1 JLPT
抗議,こうぎ,"protest, objection",抗議,JLPT_1 JLPT
合議,ごうぎ,"consultation, conference",會議,JLPT_1 JLPT
皇居,こうきょ,Imperial Palace,皇居,JLPT_1 JLPT
好況,こうきょう,"prosperous conditions, healthy economy",景氣好轉,JLPT_1 JLPT
鉱業,こうぎょう,mining industry,礦業,JLPT_1 JLPT
興業,こうぎょう,starting a business; industry,興業,JLPT_1 JLPT
高原,こうげん,"tableland, plateau",高原,JLPT_1 JLPT
交互,こうご,"mutual, reciprocal, alternate",交互、互相,JLPT_1 JLPT
煌々と,こうこうと,brightly,明亮地,JLPT_1 JLPT
考古学,こうこがく,archeology,考古學,JLPT_1 JLPT
工作,こうさく,"handicraft, maneuvering",工作、手工藝,JLPT_1 JLPT
耕作,こうさく,"cultivation, farming",耕作,JLPT_1 JLPT
鉱山,こうざん,mine,礦山,JLPT_1 JLPT
講習,こうしゅう,"short course, training",講習,JLPT_1 JLPT
口述,こうじゅつ,verbal statement,口述,JLPT_1 JLPT
控除,こうじょ,"subsidy, deduction",扣除,JLPT_1 JLPT
交渉,こうしょう,negotiation,交涉,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
高尚,こうしょう,"high, noble, refined",高尚,JLPT_1 JLPT
向上,こうじょう,"rise, improvement, progress",向上,JLPT_1 JLPT
行進,こうしん,"march, parade",行進,JLPT_1 JLPT
香辛料,こうしんりょう,spices,香辛料,JLPT_1 JLPT
降水,こうすい,"rainfall, precipitation",降水,JLPT_1 JLPT
洪水,こうずい,flood,洪水,JLPT_1 JLPT
合成,ごうせい,"synthetic, mixed",合成,JLPT_1 JLPT
公然,こうぜん,openly,公然,JLPT_1 JLPT
抗争,こうそう,"dispute, resistance",抗爭,JLPT_1 JLPT
構想,こうそう,"plan, plot, idea, conception",構想,JLPT_1 JLPT
後退,こうたい,"retreat, backspace",後退,JLPT_1 JLPT
光沢,こうたく,"luster, glossy finish (of photographs)",光澤,JLPT_1 JLPT
公団,こうだん,public corporation,公團,JLPT_1 JLPT
好調,こうちょう,"satisfactory, in good shape",好調,JLPT_1 JLPT
口頭,こうとう,oral,口頭,JLPT_1 JLPT
講読,こうどく,reading,講讀,JLPT_1 JLPT
購読,こうどく,subscription,購讀,JLPT_1 JLPT
購入,こうにゅう,"purchase, buy",購入,JLPT_1 JLPT
公認,こうにん,"official recognition, authorization",公認,JLPT_1 JLPT
光熱費,こうねつひ,cost of fuel and light,水電費,JLPT_1 JLPT
購買,こうばい,"purchase, buy",購買,JLPT_1 JLPT
好評,こうひょう,"popularity, favorable reputation",好評,JLPT_1 JLPT
交付,こうふ,"delivering, furnishing (with copies)",交付,JLPT_1 JLPT
公募,こうぼ,"public appeal, public contribution",公開募集,JLPT_1 JLPT
巧妙,こうみょう,"ingenious, skillful, clever",巧妙,JLPT_1 JLPT
公用,こうよう,"government business, public use, public expense",公用,JLPT_1 JLPT
小売,こうり,retail,零售,JLPT_1 JLPT
効率,こうりつ,efficiency,效率,JLPT_1 JLPT
公立,こうりつ,public institution,公立,JLPT_1 JLPT
護衛,ごえい,"guard, convoy, escort",護衛,JLPT_1 JLPT
コーナー,コーナー,corner,角落,JLPT_1 JLPT
小柄,こがら,"small, diminutive",小個子,JLPT_1 JLPT
小切手,こぎって,"cheque, check",支票,JLPT_1 JLPT
国産,こくさん,domestic products,國產,JLPT_1 JLPT
国定,こくてい,"state-sponsored, national",國定,JLPT_1 JLPT
告白,こくはく,"confession, acknowledgment",告白,JLPT_1 JLPT
国防,こくぼう,national defense,國防,JLPT_1 JLPT
国有,こくゆう,national ownership,國有,JLPT_1 JLPT
極楽,ごくらく,paradise,極樂,JLPT_1 JLPT
国連,こくれん,"U.N., United Nations",聯合國,JLPT_1 JLPT
焦げ茶,こげちゃ,dark brown,深褐色,JLPT_1 JLPT
語源,ごげん,"word root, word derivation, etymology",語源,JLPT_1 JLPT
心地,ここち,"feeling, sensation, mood",心情,JLPT_1 JLPT
心得,こころえ,"knowledge, information",心得,JLPT_1 JLPT
心掛け,こころがけ,"readiness, intention, aim",心態,JLPT_1 JLPT
心掛ける,こころがける,"to bear in mind, to aim to do",留心,JLPT_1 JLPT
志,こころざし,"will, intention, motive",志向,JLPT_1 JLPT
志す,こころざす,"to plan, to intend, to aspire to",立志,JLPT_1 JLPT
心強い,こころづよい,"heartening, reassuring",令人安心的,JLPT_1 JLPT
心細い,こころぼそい,"helpless, hopeless, discouraging",令人擔心的,JLPT_1 JLPT
試み,こころみ,"trial, experiment",嘗試,JLPT_1 JLPT
試みる,こころみる,"to try, to test",嘗試,JLPT_1 JLPT
快い,こころよい,"pleasant, agreeable",愉快的,JLPT_1 JLPT
誤差,ごさ,error,誤差,JLPT_1 JLPT
孤児,こじ,orphan,孤兒,JLPT_1 JLPT
こじれる,こじれる,"to get complicated, to grow worse",變複雜,JLPT_1 JLPT
梢,こずえ,treetop,樹梢,JLPT_1 JLPT
個性,こせい,"individuality, personality, idiosyncrasy",個性,JLPT_1 JLPT
戸籍,こせき,"census, family register",戶籍,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese
古代,こだい,ancient times,古代,JLPT_1 JLPT
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",暖桌,JLPT_1 JLPT
こだわる,こだわる,"to fuss over, to be particular about",拘泥於,JLPT_1 JLPT
誇張,こちょう,exaggeration,誇張,JLPT_1 JLPT
滑稽,こっけい,"funny, humorous, comical",滑稽,JLPT_1 JLPT
国交,こっこう,diplomatic relations,外交關係,JLPT_1 JLPT
骨董品,こっとうひん,curio,古董,JLPT_1 JLPT
固定,こてい,"fixation, fixing (e.g., salary, capital)",固定,JLPT_1 JLPT
事柄,ことがら,"matter, thing, affair, circumstance",事情,JLPT_1 JLPT
孤独,こどく,"isolation, loneliness, solitude",孤獨,JLPT_1 JLPT
ことごとく,ことごとく,"altogether, entirely",完全地,JLPT_1 JLPT
言付け,ことづけ,to leave a message,留話,JLPT_1 JLPT
殊に,ことに,"especially, above all",特別是,JLPT_1 JLPT
粉々,こなごな,in very small pieces,粉碎,JLPT_1 JLPT
好ましい,このましい,"nice, likable, desirable",令人喜愛的,JLPT_1 JLPT
碁盤,ごばん,Go board,圍棋盤,JLPT_1 JLPT
個別,こべつ,particular case,個別,JLPT_1 JLPT
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",欺騙,JLPT_1 JLPT
細やか,こまやか,"meager, modest",細緻的,JLPT_1 JLPT
コマーシャル,コマーシャル,a commercial,廣告,JLPT_1 JLPT
込める,こめる,"to include, to put into",包含,JLPT_1 JLPT
コメント,コメント,comment,評論,JLPT_1 JLPT
籠もる,こもる,"to seclude oneself, to be confined in",閉門不出,JLPT_1 JLPT
固有,こゆう,"characteristic, tradition, peculiar",固有,JLPT_1 JLPT
暦,こよみ,"calendar, almanac",日曆,JLPT_1 JLPT
凝らす,こらす,"to concentrate, to devote, to peer into",專注,JLPT_1 JLPT
孤立,こりつ,"isolation, helplessness",孤立,JLPT_1 JLPT
懲りる,こりる,"to learn by experience, to be disgusted with",受教訓,JLPT_1 JLPT
凝る,こる,"to stiffen, to harden",僵硬,JLPT_1 JLPT
根気,こんき,"patience; perseverance, energy",耐心,JLPT_1 JLPT
根拠,こんきょ,"basis, foundation",根據,JLPT_1 JLPT
混血,こんけつ,"mixed race, mixed parentage",混血,JLPT_1 JLPT
昆虫,こんちゅう,"insect, bug",昆蟲,JLPT_1 JLPT
根底,こんてい,"root, basis, foundation",根底,JLPT_1 JLPT
混同,こんどう,"confusion, mixing, merger",混同,JLPT_1 JLPT
コントラスト,コントラスト,contrast,對比,JLPT_1 JLPT
コントロール,コントロール,control,控制,JLPT_1 JLPT
コンパス,コンパス,compass,指南針,JLPT_1 JLPT
根本,こんぽん,"foundation, root, base",根本,JLPT_1 JLPT
財,ざい,"fortune, riches",財富,JLPT_1 JLPT
再会,さいかい,"meeting again, reunion",重逢,JLPT_1 JLPT
災害,さいがい,"calamity, disaster, misfortune",災害,JLPT_1 JLPT
細菌,さいきん,"bacillus, bacterium, germ",細菌,JLPT_1 JLPT
細工,さいく,"work, craftsmanship, trick",工藝品,JLPT_1 JLPT
採掘,さいくつ,mining,採掘,JLPT_1 JLPT
サイクル,サイクル,cycle,循環,JLPT_1 JLPT
採決,さいけつ,"vote, roll call",表決,JLPT_1 JLPT
再建,さいけん,(temple or shrine) rebuilding,重建,JLPT_1 JLPT
再現,さいげん,"reproduction, return, revival",再現,JLPT_1 JLPT
財源,ざいげん,"source of funds, resources, finances",財源,JLPT_1 JLPT
在庫,ざいこ,"stockpile, stock",庫存,JLPT_1 JLPT
採算,さいさん,profit,收支平衡,JLPT_1 JLPT
サイズ,サイズ,size,尺寸,JLPT_1 JLPT
再生,さいせい,"playback, regeneration, resuscitation",再生,JLPT_1 JLPT
財政,ざいせい,"economy, financial affairs",財政,JLPT_1 JLPT
最善,さいぜん,the very best,最佳,JLPT_1 JLPT
採択,さいたく,"adoption, selection, choice",採納,JLPT_1 JLPT
栽培,さいばい,cultivation,栽培,JLPT_1 JLPT
再発,さいはつ,"return, relapse, reoccurrence",復發,JLPT_1 JLPT
細胞,さいぼう,cell,細胞,JLPT_1 JLPT
採用,さいよう,"use, adopt",採用,JLPT_1 JLPT
遮る,さえぎる,"to interrupt, to intercept, to obstruct",阻擋,JLPT_1 JLPT
さえずる,さえずる,"to sing, to chirp, to twitter",鳴啾,JLPT_1 JLPT
冴える,さえる,"to be clear, to be bright, to be skillful",清澈、技藝精湛,JLPT_1 JLPT
竿,さお,"rod, pole (e.g., for drying laundry)",竿子,JLPT_1 JLPT
栄える,さかえる,"to flourish, to prosper, to thrive",繁榮,JLPT_1 JLPT
差額,さがく,"balance, difference, margin",差額,JLPT_1 JLPT
杯,さかずき,wine cup,酒杯,JLPT_1 JLPT
逆立ち,さかだち,"handstand, headstand",倒立,JLPT_1 JLPT
詐欺,さぎ,"fraud, swindle",詐騙,JLPT_1 JLPT
削減,さくげん,"cut, reduction",削減,JLPT_1 JLPT
錯誤,さくご,mistake,錯誤,JLPT_1 JLPT
作戦,さくせん,"military operations, tactics, strategy",作戰,JLPT_1 JLPT
叫び,さけび,"shout, scream, outcry",叫喊,JLPT_1 JLPT
捧げる,ささげる,"to lift up, to give, to offer",奉獻,JLPT_1 JLPT
差し掛かる,さしかかる,"to come near to, to approach",接近,JLPT_1 JLPT
指図,さしず,"instruction, mandate",指示,JLPT_1 JLPT
差し出す,さしだす,"to present, to submit, to hold out",提出,JLPT_1 JLPT
差し支える,さしつかえる,"to interfere, to hinder",妨礙,JLPT_1 JLPT
授ける,さずける,"to grant, to award, to teach",授予,JLPT_1 JLPT
摩する,さする,"to rub, to stroke",摩擦,JLPT_1 JLPT
定まる,さだまる,"to become settled, to be fixed",確定,JLPT_1 JLPT
定める,さだめる,"to decide, to determine",決定,JLPT_1 JLPT
座談会,ざだんかい,"symposium, round-table discussion",座談會,JLPT_1 JLPT
雑,ざつ,"rough, crude",雜亂,JLPT_1 JLPT
雑貨,ざっか,"miscellaneous goods, general goods",雜貨,JLPT_1 JLPT
殺人,さつじん,murder,殺人,JLPT_1 JLPT
察する,さっする,"to guess, to sense, to judge",察覺,JLPT_1 JLPT
雑談,ざつだん,"chatting, idle talk",閒聊,JLPT_1 JLPT
さっと,さっと,"suddenly, smoothly",迅速地,JLPT_1 JLPT
さっぱりする,さっぱりする,to refresh,清爽,JLPT_1 JLPT
悟る,さとる,"to attain enlightenment, to understand",領悟,JLPT_1 JLPT
最中,さなか,"in the middle of, midst",正當中,JLPT_1 JLPT
座標,ざひょう,coordinates,座標,JLPT_1 JLPT
さほど,さほど,"not so, not that much",不那麼,JLPT_1 JLPT
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,翹課,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki
様,さま,state; way (a person does something); Mr. or Mrs.,樣子,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11
寒気,さむけ,"chill, shiver, cold",寒氣,JLPT_1 JLPT
侍,さむらい,samurai,武士,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese
さも,さも,"with gusto, with satisfaction",確實,JLPT_1 JLPT
作用,さよう,"operation, effect, function",作用,JLPT_1 JLPT
障る,さわる,"to hinder, to interfere with, to affect",妨礙,JLPT_1 JLPT
酸,さん,acid,酸,JLPT_1 JLPT
山岳,さんがく,mountains,山嶽,JLPT_1 JLPT
参議院,さんぎいん,House of Councilors,參議院,JLPT_1 JLPT
産休,さんきゅう,maternity leave,產假,JLPT_1 JLPT
サンキュー,サンキュー,thank you,謝謝,JLPT_1 JLPT
残金,ざんきん,remaining money,餘款,JLPT_1 JLPT
産後,さんご,"postpartum, after childbirth",產後,JLPT_1 JLPT
残酷,ざんこく,"cruelty, harshness",殘酷,JLPT_1 JLPT
産出,さんしゅつ,"yield, produce",產出,JLPT_1 JLPT
参照,さんしょう,"reference, consultation, consultation",參照,JLPT_1 JLPT
参上,さんじょう,"calling on, visiting",參見,JLPT_1 JLPT
残高,ざんだか,"(bank) balance, remainder",餘額,JLPT_1 JLPT
サンタクロース,サンタクロース,Santa Claus,聖誕老人,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
桟橋,さんばし,"wharf, jetty, pier",棧橋,JLPT_1 JLPT
賛美,さんび,"praise, adoration, glorification",讚美,JLPT_1 JLPT
山腹,さんぷく,"hillside, mountainside",山腰,JLPT_1 JLPT
産婦人科,さんふじんか,maternity and gynecology department,婦產科,JLPT_1 JLPT
産物,さんぶつ,"product, result, fruit",產物,JLPT_1 JLPT
山脈,さんみゃく,mountain range,山脈,JLPT_1 JLPT
仕上がり,しあがり,"finish, end, completion",完成,JLPT_1 JLPT
仕上,しあげ,"end, finishing touches",完工,JLPT_1 JLPT
仕上げる,しあげる,"to finish up, to complete",完成,JLPT_1 JLPT
飼育,しいく,"breeding, raising, rearing",飼養,JLPT_1 JLPT
強いて,しいて,"to dare, to insist",勉強,JLPT_1 JLPT
シート,シート,seat; sheet,座位、床單,JLPT_1 JLPT
ジーパン,ジーパン,jeans,牛仔褲,JLPT_1 JLPT
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",進貨,JLPT_1 JLPT
強いる,しいる,"to force, to compel, to coerce",強迫,JLPT_1 JLPT
潮,しお,tide,潮汐,JLPT_1 JLPT
歯科,しか,dentistry,牙科,JLPT_1 JLPT
自我,じが,"self, ego",自我,JLPT_1 JLPT
自覚,じかく,self-conscious,自覺,JLPT_1 JLPT
仕掛,しかけ,"device, trick, mechanism",機關,JLPT_1 JLPT
仕掛ける,しかける,"to lay, to set, to wage",設置,JLPT_1 JLPT
しかしながら,しかしながら,"however, nevertheless",然而,JLPT_1 JLPT
色彩,しきさい,color,色彩,JLPT_1 JLPT
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",會場,JLPT_1 JLPT
しきたり,しきたり,"custom, conventional practice, tradition",習俗,JLPT_1 JLPT
事業,じぎょう,"project, enterprise, business",事業,JLPT_1 JLPT
軽蔑,けいべつ,"scorn, disdain",輕蔑,JLPT_1 JLPT
経歴,けいれき,"personal history, career",經歷,JLPT_1 JLPT
経路,けいろ,"course, route, channel",路線,JLPT_1 JLPT
けがらわしい,けがらわしい,"filthy, unfair",骯髒的,JLPT_1 JLPT
劇団,げきだん,"troupe, theatrical company",劇團,JLPT_1 JLPT
激励,げきれい,encouragement,激勵,JLPT_1 JLPT
ゲスト,ゲスト,guest,客人,JLPT_1 JLPT
獣,けだもの,"beast, brute",野獸,JLPT_1 JLPT
決,けつ,"decision, vote",決定,JLPT_1 JLPT
決意,けつい,"decision, determination",決意,JLPT_1 JLPT
結核,けっかく,tuberculosis,肺結核,JLPT_1 JLPT
決議,けつぎ,"resolution, vote, decision",決議,JLPT_1 JLPT
結合,けつごう,"combination, union",結合,JLPT_1 JLPT
決算,けっさん,"balance sheet, settlement of accounts",決算,JLPT_1 JLPT
月謝,げっしゃ,monthly tuition fee,月費,JLPT_1 JLPT
決勝,けっしょう,finals (in sports),決賽,JLPT_1 JLPT
結晶,けっしょう,"crystal, crystallization",結晶,JLPT_1 JLPT
結成,けっせい,formation,結成,JLPT_1 JLPT
結束,けっそく,"union, unity",團結,JLPT_1 JLPT
げっそり,げっそり,"being disheartened, losing weight",消瘦,JLPT_1 JLPT
決断,けつだん,"decision, determination",決斷,JLPT_1 JLPT
月賦,げっぷ,monthly installment,分期付款,JLPT_1 JLPT
欠乏,けつぼう,shortage,缺乏,JLPT_1 JLPT
蹴飛ばす,けとばす,"to kick away, to kick (someone)",踢開,JLPT_1 JLPT
けなす,けなす,to speak ill of,說壞話,JLPT_1 JLPT
煙たい,けむたい,"smoky, feeling awkward",煙霧瀰漫,JLPT_1 JLPT
煙る,けむる,"to smoke (e.g., fire)",冒煙,JLPT_1 JLPT
獣,けもの,"beast, brute",野獸,JLPT_1 JLPT
家来,けらい,"retainer, retinue, servant",家臣,JLPT_1 JLPT
下痢,げり,diarrhea,腹瀉,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese
権威,けんい,"authority, power, influence",權威,JLPT_1 JLPT
兼業,けんぎょう,holding two jobs at the same time,兼業,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese
原形,げんけい,"original form, base form",原形,JLPT_1 JLPT
原型,げんけい,"prototype, model, archetypal",原型,JLPT_1 JLPT
権限,けんげん,"power, authority, jurisdiction",權限,JLPT_1 JLPT
現行,げんこう,"present, current, in operation",現行,JLPT_1 JLPT
健在,けんざい,"in good health, well",健在,JLPT_1 JLPT
原作,げんさく,original work,原作,JLPT_1 JLPT
検事,けんじ,public prosecutor,檢察官,JLPT_1 JLPT
原子,げんし,atom,原子,JLPT_1 JLPT
元首,げんしゅ,"ruler, sovereign",元首,JLPT_1 JLPT
原書,げんしょ,original document,原書,JLPT_1 JLPT
懸賞,けんしょう,"offering prizes, winning, reward",懸賞,JLPT_1 JLPT
健全,けんぜん,"health, soundness, wholesome",健全,JLPT_1 JLPT
元素,げんそ,element,元素,JLPT_1 JLPT
同調,どうちょう,"sympathy, agree with, alignment",同調,JLPT_1 JLPT
到底,とうてい,(cannot) possibly,到底,JLPT_1 JLPT
動的,どうてき,"dynamic, kinetic",動態,JLPT_1 JLPT
尊い,とうとい,"precious, valuable, noble",尊貴的,JLPT_1 JLPT
貴い,とうとい,"precious, valuable, noble",珍貴的,JLPT_1 JLPT
同等,どうとう,"equality, equal, same rank",同等,JLPT_1 JLPT
堂々,どうどう,"magnificent, grand, impressive",堂堂正正,JLPT_1 JLPT
尊ぶ,とうとぶ,"to value, to prize, to esteem",尊重,JLPT_1 JLPT
どうにか,どうにか,"in some way or other, one way or another",好歹,JLPT_1 JLPT
投入,とうにゅう,"throw, investment, making (an electrical circuit)",投入,JLPT_1 JLPT
導入,どうにゅう,"introduction, bringing in, leading in",導入,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese
当人,とうにん,"the one concerned, the said person",當事人,JLPT_1 JLPT
同封,どうふう,"enclosure (e.g., in a letter)",同封,JLPT_1 JLPT
逃亡,とうぼう,escape,逃亡,JLPT_1 JLPT
冬眠,とうみん,"hibernation, winter sleep",冬眠,JLPT_1 JLPT
同盟,どうめい,"alliance, union, league",同盟,JLPT_1 JLPT
どうやら,どうやら,"it seems like, somehow or other",似乎,JLPT_1 JLPT
動力,どうりょく,"power, motive power, dynamic force",動力,JLPT_1 JLPT
登録,とうろく,"registration, register, record",登錄,JLPT_1 JLPT
討論,とうろん,discussion; debate,討論,JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
遠ざかる,とおざかる,to go far off,遠離,JLPT_1 JLPT
遠回り,とおまわり,"detour, roundabout way",繞路,JLPT_1 JLPT
トーン,トーン,tone,音調,JLPT_1 JLPT
とかく,とかく,"anyhow, anyway, in any case",總之,JLPT_1 JLPT
とがめる,とがめる,"to blame, to rebuke",責備,JLPT_1 JLPT
時折,ときおり,sometimes,偶爾,JLPT_1 JLPT
とぎれる,とぎれる,"to pause, to be interrupted",中斷,JLPT_1 JLPT
研ぐ,とぐ,"to sharpen, to grind, to polish",磨,JLPT_1 JLPT
特技,とくぎ,special talent; skill,特技,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
独裁,どくさい,"dictatorship, despotism",獨裁,JLPT_1 JLPT
特産,とくさん,"specialty, special product",特產,JLPT_1 JLPT
独自,どくじ,"original, peculiar, characteristic",獨特,JLPT_1 JLPT
特集,とくしゅう,"feature (e.g., newspaper, special edition, report)",特集,JLPT_1 JLPT
独占,どくせん,monopoly,獨佔,JLPT_1 JLPT
独創,どくそう,originality,獨創,JLPT_1 JLPT
得点,とくてん,"score, points made",得分,JLPT_1 JLPT
特派,とくは,"send specially, special envoy",特派,JLPT_1 JLPT
特有,とくゆう,"characteristic (of, peculiar (to))",特有,JLPT_1 JLPT
遂げる,とげる,"to accomplish, to achieve, to carry out",完成,JLPT_1 JLPT
年頃,としごろ,"age, marriageable age, adolescence",年紀,JLPT_1 JLPT
戸締り,とじまり,"closing up, locking the doors",鎖門,JLPT_1 JLPT
途上,とじょう,"en/in route, half way",途中,JLPT_1 JLPT
土台,どだい,"foundation, base, basis",基礎,JLPT_1 JLPT
途絶える,とだえる,"to stop, to cease, to come to an end",中斷,JLPT_1 JLPT
特許,とっきょ,"special permission, patent",專利,JLPT_1 JLPT
特権,とっけん,"privilege, special right",特權,JLPT_1 JLPT
とっさに,とっさに,at once,瞬間,JLPT_1 JLPT
突如,とつじょ,"suddenly, all of a sudden",突然,JLPT_1 JLPT
とって,とって,"handle, grip, knob",把手,JLPT_1 JLPT
突破,とっぱ,"breaking through, breakthrough, penetration",突破,JLPT_1 JLPT
土手,どて,"embankment, bank",堤防,JLPT_1 JLPT
届,とどけ,"report, notification, registration",報告,JLPT_1 JLPT
滞る,とどこおる,"to stagnate, to be delayed",滯留,JLPT_1 JLPT
整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money",整理,JLPT_1 JLPT
止める,とどめる,"to end, to stop, to cease, to resign",停止,JLPT_1 JLPT
唱える,となえる,"to recite, to chant, to call upon",誦唸,JLPT_1 JLPT
殿様,とのさま,feudal lord,殿下,JLPT_1 JLPT
土俵,どひょう,arena,土俵,JLPT_1 JLPT
扉,とびら,"door, opening",門扉,JLPT_1 JLPT
溝,どぶ,"ditch, drain, gap",溝渠,JLPT_1 JLPT
徒歩,とほ,"walking, going on foot",步行,JLPT_1 JLPT
土木,どぼく,public works,土木,JLPT_1 JLPT
とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage",裝傻,JLPT_1 JLPT
乏しい,とぼしい,"meager, scarce, hard up, poor",缺乏的,JLPT_1 JLPT
富,とみ,"wealth, fortune",財富,JLPT_1 JLPT
富む,とむ,"to be rich, to become rich",富有,JLPT_1 JLPT
共稼ぎ,ともかせぎ,"working together, (husband and wife) earning a living together",夫妻同工,JLPT_1 JLPT
伴う,ともなう,"to accompany, to bring with",伴隨,JLPT_1 JLPT
共働き,ともばたらき,dual income (husband and wife both working),夫妻共同工作,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese
ドライ,ドライ,dry,乾燥,JLPT_1 JLPT
ドライクリーニング,ドライクリーニング,dry cleaning,乾洗,JLPT_1 JLPT
ドライバー,ドライバー,"driver, screwdriver",司機、螺絲起子,JLPT_1 JLPT
ドライブイン,ドライブイン,drive in,免下車服務,JLPT_1 JLPT
トラブル,トラブル,trouble (sometimes used as a verb),麻煩,JLPT_1 JLPT
トランジスター,トランジスター,transistor,電晶體,JLPT_1 JLPT
とりあえず,とりあえず,"at once, first of all, for the time being",首先,JLPT_1 JLPT
取扱,とりあつかい,"treatment, handling, management",處理,JLPT_1 JLPT
